tool,cat,compte
Wikiversity,autre,0.5
Softmaker Office,wysiwyg bureautique,0.5
Typewriter online,autre,0.5
open source office products,wysiwyg bureautique,0.5
MS Office Online,autre,0.45
Notes,autre,0.45
AUCTeX,autre,0.45
WinEdit,autre,0.45
institutional server,autre,0.45
Dropbox Paper,wysiwyg bureautique,0.45
OWL (Purdue),autre,0.4444444444444444
APA (American Psychological Association) manual,autre,0.4444444444444444
FocusWriter,texte brut,0.41666666666666663
publisher,autre,0.41666666666666663
DevonThink,autre,0.41666666666666663
RagTime,autre,0.4
MEPS eidtor,autre,0.4
ReST,autre,0.4
Basecamp,autre,0.4
Open Document Writer,wysiwyg bureautique,0.4
MacDown,balisage léger,0.4
ChemSketch,autre,0.4
Circus Ponies Notebook,autre,0.39285714285714285
IrfanView,autre,0.3666666666666667
Dokuwiki,balisage léger,0.34285714285714286
Visio,autre,0.34285714285714286
MS Office 365,wysiwyg bureautique,0.3333333333333333
Collective Knowledge,autre,0.3333333333333333
Grapher,autre,0.3333333333333333
WriteMonkey,balisage léger,0.3333333333333333
MS Visio,logiciel d'infographie,0.3333333333333333
journal submission system,autre,0.3333333333333333
Ginko (app),balisage léger,0.3333333333333333
Scribd,autre,0.3333333333333333
table editors,autre,0.3333333333333333
DocBook,balisage léger,0.3333333333333333
graph editors,autre,0.3333333333333333
Writer's Diet,autre,0.3333333333333333
Lotus Word Pro,wysiwyg bureautique,0.3333333333333333
Power point image conversion format,autre,0.3333333333333333
ArcGIS,autre,0.3333333333333333
local tools,autre,0.3333333333333333
Finale (notation software),autre,0.3333333333333333
OfficeSuite Pro,wysiwyg bureautique,0.3333333333333333
Telekom Mediencenter,autre,0.3333333333333333
OoWriter,wysiwyg bureautique,0.3333333333333333
institutional solution,autre,0.3333333333333333
F1000 Workbench,autre,0.3333333333333333
Blender,autre,0.3333333333333333
neooffice,autre,0.3333333333333333
Asciidoc,balisage léger,0.3333333333333333
Leafpad,texte brut,0.3333333333333333
gVim,texte brut,0.3333333333333333
publishers' online workflow apps,autre,0.3333333333333333
PhotoImpact,logiciel d'infographie,0.3333333333333333
nedit,texte brut,0.3333333333333333
Marked2,balisage léger,0.3333333333333333
iBooks,autre,0.3333333333333333
Write,autre,0.3333333333333333
Lilypond,autre,0.3333333333333333
Typora,autre,0.3333333333333333
Ashampoo Office,autre,0.3333333333333333
Zimwiki,balisage léger,0.3333333333333333
Zettelkasten,autre,0.3333333333333333
DocOnce,balisage léger,0.3333333333333333
Q10,texte brut,0.3333333333333333
restructured text for technical documentation,balisage léger,0.3333333333333333
San FranciscoEdit,autre,0.3333333333333333
SimpleMind,autre,0.3333333333333333
Rake,autre,0.3333333333333333
word processing,texte brut,0.3333333333333333
TexnicCenter,tex,0.325
Moo,balisage léger,0.2857142857142857
OpenCloud,autre,0.2857142857142857
Notational Velocity,autre,0.2857142857142857
literature management program,autre,0.25
750words.com,autre,0.25
Mindjet,autre,0.25
Preview,autre,0.25
Yandex Docuements,autre,0.25
Photos,autre,0.25
SDL,autre,0.25
nvALT,balisage léger,0.25
Finding (app),autre,0.25
Xodo Docs,autre,0.25
EasyBib,autre,0.25
BRAHMS,autre,0.25
Everwrite,autre,0.25
TIMEVIEWER,autre,0.25
Open Words,autre,0.25
Peerla,autre,0.25
Overleaf,tex,0.25
cloud storage,autre,0.25
iPad apps,autre,0.25
Beamer,autre,0.25
ProCite,autre,0.25
Python,autre,0.25
dbook,autre,0.25
Igor,autre,0.25
Android applications,autre,0.25
institutional shared drive,autre,0.25
OnlyOffice,autre,0.25
StackEdit,balisage léger,0.25
Lynx,autre,0.25
Shapes,autre,0.25
Google Scholar,autre,0.25
Redmine Wiki,balisage léger,0.25
Cite this for me,autre,0.25
Jupyter Notebook,balisage léger,0.25
eduPad,texte brut,0.25
iNotebook,autre,0.25
RTF editor,texte brut,0.25
Workflowy,autre,0.25
IDL,autre,0.25
Ginger Translate,texte brut,0.25
1C,autre,0.25
Sente,autre,0.25
SourceTree,autre,0.25
Calc,autre,0.25
institutional collaboration environment,autre,0.25
Beaker,éditeur de site web,0.2222222222222222
SurfDrive,autre,0.2222222222222222
publishers' production platforms,autre,0.2222222222222222
Adobe Dreamweaver,éditeur de site web,0.2222222222222222
manuals/guidelines,autre,0.2
Text Encoding Initiative,tei/xml,0.2
PagePlus,wysiwyg bureautique,0.14285714285714285
undefined,,NaN
word to pdf converters (and vice versa),wysiwyg bureautique,0.2
Aquamacs,texte brut,0.2
online platforms to store and share large files,autre,0.2
Works,wysiwyg bureautique,0.2
Penflip,autre,0.2
carnet,autre,0.2
mi,autre,0.2
MS SkyDrive,autre,0.2
mapping software,autre,0.2
Kate,autre,0.2
MindMaple,autre,0.2
Confluence wiki,balisage léger,0.2
Sakura Editor,texte brut,0.2
literature management programs,autre,0.2
monographs and articles,autre,0.2
TexLipse,tex,0.2
Scholarly Markdown,balisage léger,0.2
SciDavis,autre,0.2
Antidote,wysiwyg bureautique,0.2
institutional cloud server,autre,0.2
Madoko,balisage léger,0.2
Snipping Tool,autre,0.2
Linked Research,autre,0.2
Google Keep,texte brut,0.2
Matlab,autre,0.2
memo pad,texte brut,0.2
Google Translate,autre,0.2
Scriptdoc,balisage léger,0.2
ImageJ,autre,0.2
Writer Pro,texte brut,0.2
Statistica,autre,0.2
Eclipse,texte brut,0.2
text,texte brut,0.2
ArcView,autre,0.2
MDL ISIS Draw,autre,0.2
PyMOL,autre,0.2
Medium,wysiwyg bureautique,0.2
Bibdesk,autre,0.2
Scratchpad,texte brut,0.2
Textilus,wysiwyg bureautique,0.2
PiratePad,texte brut,0.2
Omni Outliner,autre,0.2
abiword,autre,0.2
copy,autre,0.2
MathMagic,autre,0.2
pLabel,autre,0.2
Ilias,autre,0.16666666666666666
GIS,autre,0.16666666666666666
CRITICAL,autre,0.16666666666666666
MS Note,wysiwyg bureautique,0.16666666666666666
MINEQL+,autre,0.16666666666666666
scan,autre,0.16666666666666666
Javascript,autre,0.16666666666666666
institutional list of publications,autre,0.16666666666666666
Perl,autre,0.16666666666666666
Perforce,autre,0.16666666666666666
Alternote,tex,0.16666666666666666
iBooks Author,logiciel d'infographie,0.16666666666666666
MS Picture,logiciel d'infographie,0.16666666666666666
computer,autre,0.16666666666666666
php,autre,0.16666666666666666
yWriter,wysiwyg bureautique,0.16666666666666666
GitLab,autre,0.16666666666666666
Letterspace,autre,0.16666666666666666
Indian lists of recent publications,autre,0.16666666666666666
Mind Genius,autre,0.14285714285714285
TextMate,texte brut,0.14285714285714285
MediaWikiMarkdown,,0.14285714285714285
Linux,autre,0.14285714285714285
Deckset,autre,0.14285714285714285
GraphPad,logiciel d'infographie,0.14285714285714285
ABBYY FineReader,autre,0.125
PDF Pro,autre,0.125
Google,autre,0.1111111111111111
DuckDuckGo,autre,0.1111111111111111
MedeA,autre,0.1
PowerCell,autre,0.1
iPhoto,autre,0.1
Google Earth,autre,0.1
Mercury,autre,0.1
Topas,autre,0.1
Pinta,logiciel d'infographie,0.09090909090909091
Omeka,autre,0.09090909090909091
online translator,texte brut,0.08333333333333333
DOI (Digital Object Identifier),autre,0.08333333333333333
Windows,autre,0.08333333333333333
Web of Science,autre,0.08333333333333333
Elsevier Webshop Illustration Service,logiciel d'infographie,0.08333333333333333
Elsevier Webshop Language Editing,logiciel d'infographie,0.08333333333333333
publisher website,autre,0.08333333333333333
