toolName,famille,discipline,total_respondants_discipline,count,fractionOfUse,percentageOfUse
Adobe Photoshop,autre,Sciences de la vie,5162,20.226190476190478,NaN,NaN
Adobe Photoshop,autre,Médecine,3803,6.726190476190476,NaN,NaN
Adobe Photoshop,autre,Arts et Lettres,3154,3.142857142857143,NaN,NaN
Adobe Photoshop,autre,Droit,505,0.6428571428571428,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Sciences sociales et économie,6353,206.37142857142857,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Sciences de la vie,5162,61.171428571428585,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Médecine,3803,52.52142857142857,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Arts et Lettres,3154,159.33809523809524,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Droit,505,10.02142857142857,NaN,NaN
Scalar,autre,Sciences sociales et économie,6353,20.676190476190474,NaN,NaN
Scalar,autre,Sciences de la vie,5162,9.00952380952381,NaN,NaN
Scalar,autre,Médecine,3803,9.176190476190474,NaN,NaN
Scalar,autre,Arts et Lettres,3154,31.50952380952381,NaN,NaN
Scalar,autre,Droit,505,2.176190476190476,NaN,NaN
QuarkXPress,autre,Sciences sociales et économie,6353,0,NaN,NaN
QuarkXPress,autre,Sciences de la vie,5162,0.3333333333333333,NaN,NaN
QuarkXPress,autre,Médecine,3803,0.3333333333333333,NaN,NaN
QuarkXPress,autre,Arts et Lettres,3154,0.5,NaN,NaN
QuarkXPress,autre,Droit,505,0.5,NaN,NaN
Adobe InDesign,autre,Sciences sociales et économie,6353,5.476190476190476,NaN,NaN
Adobe InDesign,autre,Sciences de la vie,5162,4.976190476190476,NaN,NaN
Adobe InDesign,autre,Médecine,3803,3.3095238095238093,NaN,NaN
Adobe InDesign,autre,Arts et Lettres,3154,17.476190476190474,NaN,NaN
Adobe InDesign,autre,Droit,505,0.6428571428571428,NaN,NaN
Authorea,autres bureautique (wysiwyg),Sciences sociales et économie,6353,41.81904761904762,NaN,NaN
Authorea,autres bureautique (wysiwyg),Sciences de la vie,5162,41.65238095238095,NaN,NaN
Authorea,autres bureautique (wysiwyg),Médecine,3803,15.452380952380953,NaN,NaN
Authorea,autres bureautique (wysiwyg),Arts et Lettres,3154,10.81904761904762,NaN,NaN
Authorea,autres bureautique (wysiwyg),Droit,505,1.7857142857142856,NaN,NaN
Pages,autres bureautique (wysiwyg),Sciences sociales et économie,6353,65.22619047619048,NaN,NaN
Pages,autres bureautique (wysiwyg),Sciences de la vie,5162,60.05952380952383,NaN,NaN
Pages,autres bureautique (wysiwyg),Médecine,3803,28.642857142857135,NaN,NaN
Pages,autres bureautique (wysiwyg),Arts et Lettres,3154,49.05952380952382,NaN,NaN
Pages,autres bureautique (wysiwyg),Droit,505,4.809523809523809,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Sciences sociales et économie,6353,11.476190476190476,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Sciences de la vie,5162,11.142857142857142,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Médecine,3803,0.9761904761904762,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Arts et Lettres,3154,8.142857142857142,NaN,NaN
LibreOffice Writer,autres bureautique (wysiwyg),Droit,505,2.8095238095238098,NaN,NaN
Box,autres bureautique (wysiwyg),Sciences sociales et économie,6353,1.8428571428571427,NaN,NaN
Box,autres bureautique (wysiwyg),Sciences de la vie,5162,2.8428571428571425,NaN,NaN
Box,autres bureautique (wysiwyg),Médecine,3803,5.342857142857143,NaN,NaN
Box,autres bureautique (wysiwyg),Arts et Lettres,3154,1.6428571428571428,NaN,NaN
Box,autres bureautique (wysiwyg),Droit,505,0.14285714285714285,NaN,NaN
Zotero,autre,Sciences sociales et économie,6353,12.083333333333334,NaN,NaN
Zotero,autre,Sciences de la vie,5162,4.75,NaN,NaN
Zotero,autre,Médecine,3803,3.25,NaN,NaN
Zotero,autre,Arts et Lettres,3154,13.833333333333334,NaN,NaN
Zotero,autre,Droit,505,0,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Sciences sociales et économie,6353,11.2,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Sciences de la vie,5162,6.7,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Médecine,3803,2.5,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Arts et Lettres,3154,10.2,NaN,NaN
WordPerfect,autres bureautique (wysiwyg),Droit,505,3,NaN,NaN
TextWrangler,balisage et texte brut,Sciences sociales et économie,6353,0,NaN,NaN
TextWrangler,balisage et texte brut,Sciences de la vie,5162,2,NaN,NaN
TextWrangler,balisage et texte brut,Médecine,3803,0,NaN,NaN
TextWrangler,balisage et texte brut,Arts et Lettres,3154,3.5,NaN,NaN
TextWrangler,balisage et texte brut,Droit,505,0,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Sciences sociales et économie,6353,79.29285714285714,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Sciences de la vie,5162,45.95952380952381,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Médecine,3803,36.509523809523806,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Arts et Lettres,3154,30.09285714285714,NaN,NaN
Dropbox,autres bureautique (wysiwyg),Droit,505,3.892857142857143,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Sciences sociales et économie,6353,0,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Sciences de la vie,5162,0,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Médecine,3803,1,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Arts et Lettres,3154,0,NaN,NaN
ownCloud,autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Sciences sociales et économie,6353,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Sciences de la vie,5162,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Médecine,3803,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Arts et Lettres,3154,0,NaN,NaN
balisage et texte brut,balisage et texte brut,Droit,505,0,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Sciences sociales et économie,6353,62.59523809523811,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Sciences de la vie,5162,60.01190476190477,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Médecine,3803,15.095238095238097,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Arts et Lettres,3154,49.42857142857143,NaN,NaN
LibreOffice,autres bureautique (wysiwyg),Droit,505,2.6785714285714284,NaN,NaN
EndNote,autre,Sciences sociales et économie,6353,15.892857142857144,NaN,NaN
EndNote,autre,Sciences de la vie,5162,40.05952380952381,NaN,NaN
EndNote,autre,Médecine,3803,17.55952380952381,NaN,NaN
EndNote,autre,Arts et Lettres,3154,4.55952380952381,NaN,NaN
EndNote,autre,Droit,505,0.14285714285714285,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Sciences sociales et économie,6353,2.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Sciences de la vie,5162,4.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Médecine,3803,4.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Arts et Lettres,3154,0,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
by hand,autre,Sciences sociales et économie,6353,7.083333333333333,NaN,NaN
by hand,autre,Sciences de la vie,5162,1.25,NaN,NaN
by hand,autre,Médecine,3803,3,NaN,NaN
by hand,autre,Arts et Lettres,3154,11.583333333333332,NaN,NaN
by hand,autre,Droit,505,0,NaN,NaN
SimpleMind,autre,Sciences sociales et économie,6353,0,NaN,NaN
SimpleMind,autre,Sciences de la vie,5162,0,NaN,NaN
SimpleMind,autre,Médecine,3803,1,NaN,NaN
SimpleMind,autre,Arts et Lettres,3154,0,NaN,NaN
SimpleMind,autre,Droit,505,0,NaN,NaN
institutional server,autre,Sciences sociales et économie,6353,1,NaN,NaN
institutional server,autre,Sciences de la vie,5162,0,NaN,NaN
institutional server,autre,Médecine,3803,0,NaN,NaN
institutional server,autre,Arts et Lettres,3154,0,NaN,NaN
institutional server,autre,Droit,505,0,NaN,NaN
Adobe Reader,autre,Sciences sociales et économie,6353,1,NaN,NaN
Adobe Reader,autre,Sciences de la vie,5162,0,NaN,NaN
Adobe Reader,autre,Médecine,3803,0,NaN,NaN
Adobe Reader,autre,Arts et Lettres,3154,1,NaN,NaN
Adobe Reader,autre,Droit,505,0,NaN,NaN
email,autres bureautique (wysiwyg),Sciences sociales et économie,6353,1,NaN,NaN
email,autres bureautique (wysiwyg),Sciences de la vie,5162,0,NaN,NaN
email,autres bureautique (wysiwyg),Médecine,3803,1,NaN,NaN
email,autres bureautique (wysiwyg),Arts et Lettres,3154,0,NaN,NaN
email,autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
Reference Manager,autre,Sciences sociales et économie,6353,1.3333333333333333,NaN,NaN
Reference Manager,autre,Sciences de la vie,5162,2.5,NaN,NaN
Reference Manager,autre,Médecine,3803,5.833333333333333,NaN,NaN
Reference Manager,autre,Arts et Lettres,3154,0,NaN,NaN
Reference Manager,autre,Droit,505,0.3333333333333333,NaN,NaN
Papyrus,autre,Sciences sociales et économie,6353,1,NaN,NaN
Papyrus,autre,Sciences de la vie,5162,0,NaN,NaN
Papyrus,autre,Médecine,3803,0,NaN,NaN
Papyrus,autre,Arts et Lettres,3154,1,NaN,NaN
Papyrus,autre,Droit,505,0,NaN,NaN
LyX,format/éditeur apparenté à TeX,Sciences sociales et économie,6353,16,NaN,NaN
LyX,format/éditeur apparenté à TeX,Sciences de la vie,5162,7.333333333333333,NaN,NaN
LyX,format/éditeur apparenté à TeX,Médecine,3803,2.5,NaN,NaN
LyX,format/éditeur apparenté à TeX,Arts et Lettres,3154,3,NaN,NaN
LyX,format/éditeur apparenté à TeX,Droit,505,0,NaN,NaN
TextEdit,balisage et texte brut,Sciences sociales et économie,6353,1.8333333333333333,NaN,NaN
TextEdit,balisage et texte brut,Sciences de la vie,5162,2.333333333333333,NaN,NaN
TextEdit,balisage et texte brut,Médecine,3803,0,NaN,NaN
TextEdit,balisage et texte brut,Arts et Lettres,3154,3.6666666666666665,NaN,NaN
TextEdit,balisage et texte brut,Droit,505,0,NaN,NaN
xfig,autre,Sciences sociales et économie,6353,0,NaN,NaN
xfig,autre,Sciences de la vie,5162,0,NaN,NaN
xfig,autre,Médecine,3803,0,NaN,NaN
xfig,autre,Arts et Lettres,3154,0,NaN,NaN
xfig,autre,Droit,505,0,NaN,NaN
RevMan (Review Manager),autre,Sciences sociales et économie,6353,0,NaN,NaN
RevMan (Review Manager),autre,Sciences de la vie,5162,0,NaN,NaN
RevMan (Review Manager),autre,Médecine,3803,5.5,NaN,NaN
RevMan (Review Manager),autre,Arts et Lettres,3154,0.5,NaN,NaN
RevMan (Review Manager),autre,Droit,505,0,NaN,NaN
institutional shared drive,autre,Sciences sociales et économie,6353,0,NaN,NaN
institutional shared drive,autre,Sciences de la vie,5162,0,NaN,NaN
institutional shared drive,autre,Médecine,3803,0,NaN,NaN
institutional shared drive,autre,Arts et Lettres,3154,1,NaN,NaN
institutional shared drive,autre,Droit,505,0,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Sciences sociales et économie,6353,1.3333333333333333,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Sciences de la vie,5162,4.5,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Médecine,3803,1.3333333333333333,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Arts et Lettres,3154,0,NaN,NaN
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
Notepad++,balisage et texte brut,Sciences sociales et économie,6353,2,NaN,NaN
Notepad++,balisage et texte brut,Sciences de la vie,5162,0,NaN,NaN
Notepad++,balisage et texte brut,Médecine,3803,2.5,NaN,NaN
Notepad++,balisage et texte brut,Arts et Lettres,3154,1.5,NaN,NaN
Notepad++,balisage et texte brut,Droit,505,0.5,NaN,NaN
RefWorks,autre,Sciences sociales et économie,6353,2.6666666666666665,NaN,NaN
RefWorks,autre,Sciences de la vie,5162,2.6666666666666665,NaN,NaN
RefWorks,autre,Médecine,3803,3.666666666666667,NaN,NaN
RefWorks,autre,Arts et Lettres,3154,1,NaN,NaN
RefWorks,autre,Droit,505,0,NaN,NaN
Gramarly,balisage et texte brut,Sciences sociales et économie,6353,3.5,NaN,NaN
Gramarly,balisage et texte brut,Sciences de la vie,5162,0,NaN,NaN
Gramarly,balisage et texte brut,Médecine,3803,2,NaN,NaN
Gramarly,balisage et texte brut,Arts et Lettres,3154,1,NaN,NaN
Gramarly,balisage et texte brut,Droit,505,0,NaN,NaN
texmacs,balisage et texte brut,Sciences sociales et économie,6353,0,NaN,NaN
texmacs,balisage et texte brut,Sciences de la vie,5162,0,NaN,NaN
texmacs,balisage et texte brut,Médecine,3803,0,NaN,NaN
texmacs,balisage et texte brut,Arts et Lettres,3154,0,NaN,NaN
texmacs,balisage et texte brut,Droit,505,0,NaN,NaN
Sublime Text Editor,balisage et texte brut,Sciences sociales et économie,6353,1.5,NaN,NaN
Sublime Text Editor,balisage et texte brut,Sciences de la vie,5162,2.333333333333333,NaN,NaN
Sublime Text Editor,balisage et texte brut,Médecine,3803,0,NaN,NaN
Sublime Text Editor,balisage et texte brut,Arts et Lettres,3154,2,NaN,NaN
Sublime Text Editor,balisage et texte brut,Droit,505,0,NaN,NaN
MS OneDrive,autres bureautique (wysiwyg),Sciences sociales et économie,6353,7.866666666666666,NaN,NaN
MS OneDrive,autres bureautique (wysiwyg),Sciences de la vie,5162,5.033333333333333,NaN,NaN
MS OneDrive,autres bureautique (wysiwyg),Médecine,3803,3,NaN,NaN
MS OneDrive,autres bureautique (wysiwyg),Arts et Lettres,3154,2.8666666666666667,NaN,NaN
MS OneDrive,autres bureautique (wysiwyg),Droit,505,1,NaN,NaN
PhotoImpact,autre,Sciences sociales et économie,6353,1,NaN,NaN
PhotoImpact,autre,Sciences de la vie,5162,0,NaN,NaN
PhotoImpact,autre,Médecine,3803,0,NaN,NaN
PhotoImpact,autre,Arts et Lettres,3154,0,NaN,NaN
PhotoImpact,autre,Droit,505,0,NaN,NaN
Adobe Illustrator,autre,Sciences sociales et économie,6353,0.3333333333333333,NaN,NaN
Adobe Illustrator,autre,Sciences de la vie,5162,18.916666666666664,NaN,NaN
Adobe Illustrator,autre,Médecine,3803,5.249999999999999,NaN,NaN
Adobe Illustrator,autre,Arts et Lettres,3154,4.333333333333334,NaN,NaN
Adobe Illustrator,autre,Droit,505,0,NaN,NaN
CINDEX,autres bureautique (wysiwyg),Sciences sociales et économie,6353,0.5,NaN,NaN
CINDEX,autres bureautique (wysiwyg),Sciences de la vie,5162,0,NaN,NaN
CINDEX,autres bureautique (wysiwyg),Médecine,3803,0,NaN,NaN
CINDEX,autres bureautique (wysiwyg),Arts et Lettres,3154,0.5,NaN,NaN
CINDEX,autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
CorelDraw,autre,Sciences sociales et économie,6353,2.5,NaN,NaN
CorelDraw,autre,Sciences de la vie,5162,5.5,NaN,NaN
CorelDraw,autre,Médecine,3803,1.5,NaN,NaN
CorelDraw,autre,Arts et Lettres,3154,0.5,NaN,NaN
CorelDraw,autre,Droit,505,0,NaN,NaN
research monographs,autre,Sciences sociales et économie,6353,0,NaN,NaN
research monographs,autre,Sciences de la vie,5162,0,NaN,NaN
research monographs,autre,Médecine,3803,0,NaN,NaN
research monographs,autre,Arts et Lettres,3154,0,NaN,NaN
research monographs,autre,Droit,505,0,NaN,NaN
Emacs,balisage et texte brut,Sciences sociales et économie,6353,0.3333333333333333,NaN,NaN
Emacs,balisage et texte brut,Sciences de la vie,5162,3.6666666666666665,NaN,NaN
Emacs,balisage et texte brut,Médecine,3803,2.333333333333333,NaN,NaN
Emacs,balisage et texte brut,Arts et Lettres,3154,3.833333333333333,NaN,NaN
Emacs,balisage et texte brut,Droit,505,0,NaN,NaN
OrgMode (Emacs),balisage et texte brut,Sciences sociales et économie,6353,0.5,NaN,NaN
OrgMode (Emacs),balisage et texte brut,Sciences de la vie,5162,5.833333333333334,NaN,NaN
OrgMode (Emacs),balisage et texte brut,Médecine,3803,0.3333333333333333,NaN,NaN
OrgMode (Emacs),balisage et texte brut,Arts et Lettres,3154,0.8333333333333333,NaN,NaN
OrgMode (Emacs),balisage et texte brut,Droit,505,0,NaN,NaN
MS Publisher,autres bureautique (wysiwyg),Sciences sociales et économie,6353,0,NaN,NaN
MS Publisher,autres bureautique (wysiwyg),Sciences de la vie,5162,1,NaN,NaN
MS Publisher,autres bureautique (wysiwyg),Médecine,3803,0,NaN,NaN
MS Publisher,autres bureautique (wysiwyg),Arts et Lettres,3154,1,NaN,NaN
MS Publisher,autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
R,autre,Sciences sociales et économie,6353,2,NaN,NaN
R,autre,Sciences de la vie,5162,4.5,NaN,NaN
R,autre,Médecine,3803,0,NaN,NaN
R,autre,Arts et Lettres,3154,0,NaN,NaN
R,autre,Droit,505,0,NaN,NaN
Adobe Acrobat,autre,Sciences sociales et économie,6353,2.642857142857143,NaN,NaN
Adobe Acrobat,autre,Sciences de la vie,5162,2.642857142857143,NaN,NaN
Adobe Acrobat,autre,Médecine,3803,3.142857142857143,NaN,NaN
Adobe Acrobat,autre,Arts et Lettres,3154,3.142857142857143,NaN,NaN
Adobe Acrobat,autre,Droit,505,0.14285714285714285,NaN,NaN
MS Access,autre,Sciences sociales et économie,6353,1,NaN,NaN
MS Access,autre,Sciences de la vie,5162,0,NaN,NaN
MS Access,autre,Médecine,3803,0,NaN,NaN
MS Access,autre,Arts et Lettres,3154,0,NaN,NaN
MS Access,autre,Droit,505,0,NaN,NaN
pdf,autre,Sciences sociales et économie,6353,1.0833333333333333,NaN,NaN
pdf,autre,Sciences de la vie,5162,1.3333333333333333,NaN,NaN
pdf,autre,Médecine,3803,3,NaN,NaN
pdf,autre,Arts et Lettres,3154,2.583333333333333,NaN,NaN
pdf,autre,Droit,505,0,NaN,NaN
MathType,autre,Sciences sociales et économie,6353,2,NaN,NaN
MathType,autre,Sciences de la vie,5162,0,NaN,NaN
MathType,autre,Médecine,3803,0,NaN,NaN
MathType,autre,Arts et Lettres,3154,0,NaN,NaN
MathType,autre,Droit,505,0,NaN,NaN
Origin,autre,Sciences sociales et économie,6353,0,NaN,NaN
Origin,autre,Sciences de la vie,5162,0,NaN,NaN
Origin,autre,Médecine,3803,0,NaN,NaN
Origin,autre,Arts et Lettres,3154,0,NaN,NaN
Origin,autre,Droit,505,0,NaN,NaN
graphics software,autre,Sciences sociales et économie,6353,2,NaN,NaN
graphics software,autre,Sciences de la vie,5162,2,NaN,NaN
graphics software,autre,Médecine,3803,2.5,NaN,NaN
graphics software,autre,Arts et Lettres,3154,2,NaN,NaN
graphics software,autre,Droit,505,0,NaN,NaN
Scientific Word,autres bureautique (wysiwyg),Sciences sociales et économie,6353,2,NaN,NaN
Scientific Word,autres bureautique (wysiwyg),Sciences de la vie,5162,0,NaN,NaN
Scientific Word,autres bureautique (wysiwyg),Médecine,3803,0,NaN,NaN
Scientific Word,autres bureautique (wysiwyg),Arts et Lettres,3154,0,NaN,NaN
Scientific Word,autres bureautique (wysiwyg),Droit,505,0,NaN,NaN
OpenOffice Writer,autres bureautique (wysiwyg),Sciences sociales et économie,6353,5.833333333333333,NaN,NaN
OpenOffice Writer,autres bureautique (wysiwyg),Sciences de la vie,5162,2.666666666666667,NaN,NaN
OpenOffice Writer,autres bureautique (wysiwyg),Médecine,3803,0.8333333333333333,NaN,NaN
OpenOffice Writer,autres bureautique (wysiwyg),Arts et Lettres,3154,6,NaN,NaN
OpenOffice Writer,autres bureautique (wysiwyg),Droit,505,0.5,NaN,NaN
Rmarkdown,balisage et texte brut,Sciences sociales et économie,6353,0,NaN,NaN
Rmarkdown,balisage et texte brut,Sciences de la vie,5162,0,NaN,NaN
Rmarkdown,balisage et texte brut,Médecine,3803,0,NaN,NaN
Rmarkdown,balisage et texte brut,Arts et Lettres,3154,0,NaN,NaN
Rmarkdown,balisage et texte brut,Droit,505,0,NaN,NaN
RStudio,autre,Sciences sociales et économie,6353,5,NaN,NaN
RStudio,autre,Sciences de la vie,5162,7,NaN,NaN
RStudio,autre,Médecine,3803,2.5,NaN,NaN
RStudio,autre,Arts et Lettres,3154,0.5,NaN,NaN
RStudio,autre,Droit,505,0,NaN,NaN
Etherpad,balisage et texte brut,Sciences sociales et économie,6353,2.95,NaN,NaN
Etherpad,balisage et texte brut,Sciences de la vie,5162,2.783333333333333,NaN,NaN
Etherpad,balisage et texte brut,Médecine,3803,0.95,NaN,NaN
Etherpad,balisage et texte brut,Arts et Lettres,3154,6.033333333333334,NaN,NaN
Etherpad,balisage et texte brut,Droit,505,0,NaN,NaN
Atom,balisage et texte brut,Sciences sociales et économie,6353,2,NaN,NaN
Atom,balisage et texte brut,Sciences de la vie,5162,3,NaN,NaN
Atom,balisage et texte brut,Médecine,3803,0,NaN,NaN
Atom,balisage et texte brut,Arts et Lettres,3154,2.5,NaN,NaN
Atom,balisage et texte brut,Droit,505,0,NaN,NaN
GIMP,autre,Sciences sociales et économie,6353,0,NaN,NaN
GIMP,autre,Sciences de la vie,5162,5,NaN,NaN
GIMP,autre,Médecine,3803,0.8333333333333333,NaN,NaN
GIMP,autre,Arts et Lettres,3154,0,NaN,NaN
GIMP,autre,Droit,505,0,NaN,NaN
GraphPad,autre,Sciences sociales et économie,6353,0,NaN,NaN
GraphPad,autre,Sciences de la vie,5162,1,NaN,NaN
GraphPad,autre,Médecine,3803,0,NaN,NaN
GraphPad,autre,Arts et Lettres,3154,0,NaN,NaN
GraphPad,autre,Droit,505,0,NaN,NaN
GraphPad PRISM,autre,Sciences sociales et économie,6353,0,NaN,NaN
GraphPad PRISM,autre,Sciences de la vie,5162,11.333333333333332,NaN,NaN
GraphPad PRISM,autre,Médecine,3803,3.3333333333333335,NaN,NaN
GraphPad PRISM,autre,Arts et Lettres,3154,0,NaN,NaN
GraphPad PRISM,autre,Droit,505,0,NaN,NaN
Pandoc,autre,Sciences sociales et économie,6353,3.5,NaN,NaN
Pandoc,autre,Sciences de la vie,5162,10.833333333333334,NaN,NaN
Pandoc,autre,Médecine,3803,1.8333333333333333,NaN,NaN
Pandoc,autre,Arts et Lettres,3154,4,NaN,NaN
Pandoc,autre,Droit,505,0,NaN,NaN
ChemBioDraw,autre,Sciences sociales et économie,6353,0,NaN,NaN
ChemBioDraw,autre,Sciences de la vie,5162,0,NaN,NaN
